HomePlanet,CryoSleep,Deck,RoomNum,Side,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
Earth,True,G,3,P,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,True,G,3,P,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,False,F,10,P,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,False
Earth,False,E,2,S,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,False
Earth,False,F,11,S,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,True
Europa,False,A,1,S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,True,A,1,S,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,False,A,1,S,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,True
Earth,True,G,7,S,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,False,F,12,S,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,False
Earth,False,F,13,S,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,False
Mars,True,F,14,S,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,G,6,P,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,False
Earth,True,G,10,S,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,G,10,S,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,True
Earth,False,F,15,S,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,False
Earth,False,F,16,S,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,True
Earth,False,F,13,P,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,False
Earth,False,F,14,P,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,False
Earth,False,F,17,S,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,False
Mars,False,D,3,P,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,False
Europa,False,C,3,S,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,True
Mars,False,F,18,S,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,True
Mars,False,F,15,P,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,True
Europa,False,C,4,S,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,False
Earth,True,G,13,S,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,False
Mars,False,F,16,P,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,False
Mars,True,F,16,P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,False,F,16,P,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,G,14,S,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,True
Europa,True,C,5,S,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,F,17,P,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,False
Mars,True,E,5,S,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,True,G,15,S,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,F,20,S,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,False
Earth,False,G,9,P,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,False
Earth,True,G,9,P,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,False,A,2,S,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,False
Earth,False,G,11,P,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,False
Earth,False,G,11,P,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,True
Earth,False,F,19,P,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,False
Earth,False,F,23,S,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,False
Earth,True,G,18,S,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,True,G,18,S,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,False
Mars,False,D,2,S,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,False
Earth,True,G,19,S,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,False,G,19,S,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,False
Europa,False,B,5,P,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,True
Europa,True,B,5,P,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,True,E,6,S,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,False,B,1,S,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,True
Earth,False,F,23,P,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,True
Earth,False,G,20,S,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,False
Europa,False,D,4,P,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,True
Europa,True,A,0,P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,G,21,S,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,699.0,74.0,False
Earth,False,F,27,P,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,False
Mars,True,F,27,S,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,False,E,7,S,TRAPPIST-1e,35.0,False,701.0,0.0,296.0,0.0,25.0,False
Mars,False,D,3,S,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,False
Mars,False,E,8,S,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,False
Mars,True,F,29,S,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,False,D,5,S,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,False
Earth,False,G,17,P,TRAPPIST-1e,19.0,False,0.0,14.0,730.0,0.0,0.0,True
Earth,False,G,23,S,PSO J318.5-22,47.0,False,97.0,418.0,126.0,25.0,55.0,False
Earth,True,G,18,P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,True,C,6,S,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,True,G,19,P,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,F,29,P,TRAPPIST-1e,26.0,False,440.0,0.0,0.0,0.0,462.0,False
Earth,False,F,31,S,TRAPPIST-1e,20.0,False,0.0,420.0,210.0,0.0,0.0,True
Earth,False,G,25,S,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,True,G,26,S,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,False,F,31,P,TRAPPIST-1e,42.0,False,1072.0,0.0,10.0,0.0,76.0,False
Earth,True,G,20,P,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,False,G,22,P,TRAPPIST-1e,22.0,False,4119.0,0.0,0.0,0.0,61.0,False
Europa,True,B,8,P,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,True,B,8,P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,True,G,28,S,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,False
Mars,True,F,35,S,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,False,F,35,S,TRAPPIST-1e,27.0,False,1365.0,0.0,48.0,22.0,137.0,False
Earth,True,G,23,P,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,False,E,10,S,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,221.0,567.0,False
Earth,True,G,30,S,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,True,G,24,P,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,F,38,P,55 Cancri e,21.0,False,287.0,0.0,16.0,115.0,175.0,False
Europa,False,B,2,S,TRAPPIST-1e,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,False
Mars,False,D,6,S,TRAPPIST-1e,38.0,False,3414.0,0.0,161.0,28.0,119.0,False
Earth,False,G,26,P,TRAPPIST-1e,19.0,False,1.0,219.0,673.0,2.0,11.0,True
Earth,False,G,26,P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,False,G,26,P,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,G,27,P,TRAPPIST-1e,20.0,False,0.0,0.0,3.0,299.0,92.0,False
Europa,True,C,3,P,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,F,36,S,TRAPPIST-1e,37.0,False,17.0,146.0,426.0,0.0,232.0,True
Earth,False,G,28,P,TRAPPIST-1e,25.0,False,62.0,0.0,0.0,0.0,956.0,False
Earth,True,G,31,S,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,E,8,P,55 Cancri e,49.0,False,84.0,3.0,401.0,202.0,98.0,False
Earth,True,G,32,S,55 Cancri e,11.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,True,G,29,P,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,G,29,P,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,False,G,29,P,TRAPPIST-1e,39.0,False,0.0,0.0,10.0,898.0,0.0,False
Mars,True,F,41,P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,False,F,41,P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,False,F,42,P,TRAPPIST-1e,39.0,False,406.0,0.0,867.0,0.0,0.0,True
Mars,False,D,5,P,PSO J318.5-22,25.0,False,1052.0,0.0,719.0,0.0,7.0,False
Europa,False,C,5,P,TRAPPIST-1e,36.0,False,0.0,972.0,0.0,795.0,575.0,False
Earth,True,G,33,S,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,True,G,31,P,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,True,B,3,S,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,True,B,3,S,TRAPPIST-1e,47.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,True,B,9,P,55 Cancri e,45.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,True,C,8,S,TRAPPIST-1e,51.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,G,34,S,TRAPPIST-1e,29.0,False,0.0,2.0,66.0,0.0,705.0,False
Earth,True,G,32,P,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,False
Mars,False,F,44,P,TRAPPIST-1e,29.0,False,902.0,1.0,137.0,0.0,0.0,True
Mars,True,F,44,P,TRAPPIST-1e,11.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,False,F,44,P,TRAPPIST-1e,17.0,False,848.0,0.0,307.0,182.0,0.0,False
Earth,False,E,9,P,TRAPPIST-1e,13.0,False,192.0,0.0,0.0,51.0,739.0,False
Earth,False,F,45,P,TRAPPIST-1e,35.0,False,147.0,188.0,0.0,10.0,387.0,False
Earth,False,F,46,P,TRAPPIST-1e,21.0,False,367.0,281.0,0.0,0.0,146.0,False
Earth,False,F,40,S,55 Cancri e,21.0,False,0.0,56.0,0.0,0.0,1918.0,False
Earth,False,F,47,P,TRAPPIST-1e,38.0,False,1517.0,0.0,0.0,27.0,0.0,False
Earth,True,G,36,P,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,True,G,37,P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,G,37,P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,True,G,37,P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,False,F,48,P,TRAPPIST-1e,16.0,False,0.0,3.0,0.0,0.0,1099.0,False
Earth,False,G,37,P,55 Cancri e,1.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,True,G,37,P,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,False,E,13,S,55 Cancri e,21.0,False,2237.0,0.0,119.0,0.0,0.0,False
Mars,False,E,13,S,TRAPPIST-1e,23.0,False,1215.0,80.0,1.0,2.0,0.0,False
Mars,False,E,13,S,TRAPPIST-1e,33.0,False,1933.0,12.0,188.0,1.0,0.0,False
Mars,True,E,13,S,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,False,E,13,S,TRAPPIST-1e,41.0,False,1230.0,0.0,301.0,43.0,1023.0,False
Mars,False,E,13,S,TRAPPIST-1e,16.0,False,915.0,0.0,221.0,234.0,0.0,False
Mars,True,E,13,S,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,False
Mars,False,F,41,S,TRAPPIST-1e,20.0,False,1406.0,0.0,0.0,11.0,0.0,False
Mars,True,F,41,S,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,True,E,14,S,TRAPPIST-1e,16.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,G,35,S,TRAPPIST-1e,21.0,False,0.0,2.0,665.0,0.0,9.0,False
Mars,False,F,42,S,TRAPPIST-1e,32.0,True,181.0,0.0,5.0,1634.0,0.0,False
Earth,True,G,38,P,PSO J318.5-22,58.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,F,43,S,TRAPPIST-1e,24.0,False,4.0,7.0,0.0,713.0,79.0,False
Mars,False,F,44,S,TRAPPIST-1e,30.0,False,85.0,0.0,1.0,1720.0,0.0,False
Mars,False,F,45,S,TRAPPIST-1e,32.0,False,56.0,0.0,256.0,1438.0,0.0,False
Europa,True,B,11,P,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,True,F,52,P,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,True,G,37,S,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,False
Europa,False,C,6,P,55 Cancri e,46.0,False,0.0,3571.0,0.0,0.0,7.0,True
Europa,False,C,6,P,TRAPPIST-1e,33.0,False,0.0,86.0,796.0,584.0,10912.0,False
Mars,False,D,8,P,TRAPPIST-1e,21.0,False,2947.0,0.0,287.0,27.0,0.0,False
Europa,False,C,10,S,TRAPPIST-1e,33.0,False,0.0,1.0,0.0,8620.0,1063.0,False
Earth,False,F,53,P,TRAPPIST-1e,30.0,False,335.0,695.0,541.0,0.0,0.0,False
Earth,False,G,42,P,TRAPPIST-1e,29.0,False,272.0,615.0,0.0,0.0,1.0,False
Earth,False,F,54,P,TRAPPIST-1e,21.0,False,702.0,172.0,408.0,2.0,6.0,True
Europa,True,A,3,S,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,True,F,49,S,TRAPPIST-1e,60.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,F,50,S,TRAPPIST-1e,22.0,False,0.0,0.0,313.0,299.0,92.0,False
Europa,False,E,16,S,TRAPPIST-1e,26.0,False,0.0,4810.0,0.0,981.0,2054.0,False
Earth,False,F,56,P,TRAPPIST-1e,26.0,False,66.0,29.0,0.0,0.0,803.0,False
Earth,True,G,43,P,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,F,51,S,TRAPPIST-1e,13.0,False,118.0,0.0,0.0,754.0,1.0,False
Earth,False,F,52,S,55 Cancri e,47.0,False,0.0,231.0,592.0,0.0,0.0,True
Earth,False,F,59,P,TRAPPIST-1e,63.0,False,0.0,25.0,128.0,0.0,1240.0,False
Earth,False,F,61,P,55 Cancri e,50.0,False,44.0,2390.0,0.0,53.0,0.0,True
Earth,False,G,45,P,TRAPPIST-1e,45.0,False,0.0,97.0,0.0,14.0,333.0,False
Earth,False,F,63,P,TRAPPIST-1e,19.0,False,0.0,0.0,2078.0,0.0,0.0,True
Earth,False,F,54,S,TRAPPIST-1e,21.0,False,0.0,918.0,0.0,0.0,0.0,True
Earth,True,G,46,P,PSO J318.5-22,29.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,F,64,P,TRAPPIST-1e,22.0,False,146.0,654.0,1.0,0.0,2.0,True
Europa,True,E,16,P,TRAPPIST-1e,14.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,True,E,16,P,55 Cancri e,42.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,F,65,P,55 Cancri e,57.0,False,3.0,1281.0,29.0,162.0,13.0,False
Europa,False,B,12,P,TRAPPIST-1e,28.0,False,0.0,587.0,32.0,6.0,1460.0,False
Earth,False,F,55,S,55 Cancri e,19.0,False,0.0,0.0,0.0,0.0,828.0,False
Europa,True,C,12,S,55 Cancri e,19.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,False,B,7,S,55 Cancri e,26.0,False,0.0,4458.0,0.0,1157.0,262.0,True
Europa,True,B,7,S,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,False,B,7,S,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,False,D,10,S,TRAPPIST-1e,40.0,False,0.0,6500.0,88.0,1090.0,0.0,True
Earth,False,G,47,P,TRAPPIST-1e,24.0,False,90.0,2.0,1324.0,17.0,0.0,True
Europa,True,A,3,P,55 Cancri e,57.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,F,67,P,TRAPPIST-1e,23.0,False,0.0,0.0,15.0,0.0,1370.0,False
Europa,False,E,18,S,TRAPPIST-1e,28.0,False,0.0,422.0,0.0,1851.0,5166.0,False
Europa,False,C,7,P,55 Cancri e,23.0,False,0.0,584.0,0.0,20.0,2469.0,False
Earth,False,E,19,S,TRAPPIST-1e,23.0,False,368.0,175.0,259.0,1.0,101.0,False
Earth,False,F,59,S,TRAPPIST-1e,18.0,False,0.0,0.0,1359.0,0.0,0.0,True
Earth,False,F,60,S,TRAPPIST-1e,18.0,False,1194.0,0.0,157.0,6.0,0.0,False
Earth,False,F,68,P,PSO J318.5-22,60.0,False,7.0,540.0,1.0,0.0,4.0,True
Earth,False,F,68,P,55 Cancri e,49.0,False,331.0,0.0,0.0,318.0,0.0,True
Earth,False,G,50,P,55 Cancri e,0.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,G,51,P,55 Cancri e,26.0,False,386.0,0.0,74.0,0.0,1330.0,False
Earth,True,G,45,S,PSO J318.5-22,13.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,True,G,53,P,55 Cancri e,43.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,True,G,47,S,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,False
Europa,False,C,14,S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,False,C,14,S,TRAPPIST-1e,32.0,False,247.0,4651.0,0.0,46.0,202.0,True
Europa,False,C,14,S,TRAPPIST-1e,33.0,False,443.0,317.0,0.0,148.0,1260.0,False
Earth,False,F,72,P,TRAPPIST-1e,25.0,False,0.0,0.0,251.0,0.0,552.0,False
Mars,True,F,73,P,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,False,F,62,S,TRAPPIST-1e,29.0,False,5715.0,2.0,211.0,1476.0,0.0,False
Earth,False,F,74,P,TRAPPIST-1e,44.0,False,695.0,1.0,16.0,0.0,0.0,False
Mars,True,F,63,S,55 Cancri e,2.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,False,F,63,S,TRAPPIST-1e,19.0,False,417.0,349.0,634.0,3.0,1057.0,True
Mars,False,F,63,S,55 Cancri e,0.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,True,B,10,S,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,True,G,57,P,PSO J318.5-22,5.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,False,F,76,P,PSO J318.5-22,31.0,False,121.0,0.0,0.0,274.0,907.0,False
Mars,True,E,21,S,TRAPPIST-1e,30.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,True,G,59,P,55 Cancri e,15.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,False,F,64,S,TRAPPIST-1e,27.0,False,434.0,0.0,1434.0,0.0,0.0,False
Mars,False,D,12,P,TRAPPIST-1e,22.0,False,142.0,2876.0,202.0,3.0,0.0,True
Earth,True,G,60,P,PSO J318.5-22,14.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,False,F,78,P,TRAPPIST-1e,23.0,False,2001.0,0.0,2975.0,0.0,0.0,False
Europa,True,B,15,P,55 Cancri e,36.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,True,G,50,S,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,True,G,50,S,PSO J318.5-22,32.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,F,66,S,PSO J318.5-22,26.0,False,148.0,0.0,453.0,0.0,88.0,False
Earth,False,F,67,S,TRAPPIST-1e,15.0,False,358.0,212.0,33.0,0.0,112.0,False
Earth,False,F,68,S,55 Cancri e,33.0,False,0.0,36.0,0.0,280.0,417.0,True
Mars,False,F,82,P,TRAPPIST-1e,26.0,False,2832.0,107.0,4447.0,15.0,4.0,False
Mars,True,F,82,P,TRAPPIST-1e,61.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,G,53,S,TRAPPIST-1e,24.0,False,0.0,0.0,592.0,177.0,58.0,True
Earth,False,F,83,P,TRAPPIST-1e,30.0,False,0.0,95.0,0.0,441.0,1023.0,False
Mars,True,F,84,P,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,F,85,P,TRAPPIST-1e,24.0,False,0.0,5.0,0.0,2766.0,0.0,False
Earth,True,G,62,P,TRAPPIST-1e,41.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,False,E,22,P,TRAPPIST-1e,20.0,False,0.0,0.0,558.0,0.0,230.0,False
Earth,False,G,54,S,TRAPPIST-1e,22.0,False,116.0,0.0,786.0,6.0,0.0,True
Europa,False,C,15,S,55 Cancri e,63.0,False,0.0,1068.0,0.0,176.0,8188.0,False
Europa,False,B,11,S,55 Cancri e,18.0,False,17.0,215.0,4.0,5132.0,697.0,False
Europa,True,B,11,S,55 Cancri e,21.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,False,B,11,S,TRAPPIST-1e,79.0,False,5649.0,235.0,7.0,2579.0,2175.0,False
Europa,True,B,11,S,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,True,B,11,S,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,False,B,11,S,TRAPPIST-1e,33.0,False,0.0,2491.0,6.0,1173.0,1059.0,False
Europa,True,B,11,S,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,G,63,P,TRAPPIST-1e,31.0,False,198.0,0.0,591.0,0.0,164.0,True
Europa,True,B,16,P,55 Cancri e,18.0,False,0.0,0.0,0.0,0.0,0.0,True
