PassengerId,HomePlanet,Destination,CryoSleep
0147_01,Earth,TRAPPIST-1e,True
0148_01,Mars,TRAPPIST-1e,False
0149_01,Earth,55 Cancri e,True
0151_01,Earth,55 Cancri e,True
0152_01,Earth,,False
0160_01,Earth,TRAPPIST-1e,False
0163_01,Europa,TRAPPIST-1e,True
0163_02,Europa,TRAPPIST-1e,True
0164_01,Earth,TRAPPIST-1e,False
0164_02,Earth,PSO J318.5-22,True
0165_01,Mars,TRAPPIST-1e,True
0167_01,Mars,TRAPPIST-1e,True
0167_02,Mars,TRAPPIST-1e,False
0169_01,Earth,TRAPPIST-1e,True
0170_01,Earth,TRAPPIST-1e,False
0171_01,Earth,PSO J318.5-22,True
0172_01,Earth,TRAPPIST-1e,True
0173_01,Earth,TRAPPIST-1e,True
0174_01,Earth,55 Cancri e,False
0177_01,Europa,TRAPPIST-1e,False
0178_01,Mars,TRAPPIST-1e,False
0179_01,Earth,TRAPPIST-1e,False
0179_02,Earth,TRAPPIST-1e,False
0179_03,Earth,TRAPPIST-1e,False
0181_01,Earth,TRAPPIST-1e,False
0182_01,Europa,TRAPPIST-1e,True
0183_01,Earth,TRAPPIST-1e,False
0186_01,Earth,TRAPPIST-1e,False
0188_01,Earth,TRAPPIST-1e,True
0189_01,Earth,55 Cancri e,False
0190_01,Earth,55 Cancri e,True
0192_01,Earth,TRAPPIST-1e,True
0192_02,Earth,TRAPPIST-1e,False
0192_03,Earth,TRAPPIST-1e,False
0193_01,Mars,TRAPPIST-1e,True
0193_02,Mars,TRAPPIST-1e,False
0193_03,Mars,TRAPPIST-1e,False
0195_01,Mars,TRAPPIST-1e,False
0196_01,Mars,PSO J318.5-22,False
0197_01,Europa,TRAPPIST-1e,False
0198_01,Earth,PSO J318.5-22,True
0199_01,Earth,TRAPPIST-1e,True
0200_01,Earth,TRAPPIST-1e,True
0201_01,Europa,TRAPPIST-1e,True
0201_02,Europa,TRAPPIST-1e,True
0202_01,Europa,55 Cancri e,True
0202_02,Europa,55 Cancri e,False
0203_01,Europa,TRAPPIST-1e,True
0205_01,Earth,TRAPPIST-1e,False
0206_01,Europa,55 Cancri e,False
0207_01,Earth,PSO J318.5-22,True
0210_01,,55 Cancri e,True
0211_01,Mars,TRAPPIST-1e,False
0211_02,Mars,TRAPPIST-1e,True
0211_03,Mars,TRAPPIST-1e,False
0212_01,Earth,TRAPPIST-1e,False
0212_02,Earth,TRAPPIST-1e,False
0213_01,Earth,TRAPPIST-1e,False
0216_01,Earth,55 Cancri e,False
0217_01,Earth,TRAPPIST-1e,False
0219_01,Earth,TRAPPIST-1e,True
0220_01,Earth,TRAPPIST-1e,True
0220_02,Earth,TRAPPIST-1e,False
0220_03,Earth,TRAPPIST-1e,True
0220_04,Earth,TRAPPIST-1e,False
0220_05,Earth,TRAPPIST-1e,False
0220_06,Earth,55 Cancri e,False
0220_07,Earth,TRAPPIST-1e,True
0221_01,Mars,55 Cancri e,False
0221_02,Mars,TRAPPIST-1e,False
0221_03,Mars,TRAPPIST-1e,False
0221_04,Mars,TRAPPIST-1e,True
0221_05,Mars,TRAPPIST-1e,False
0221_06,Mars,TRAPPIST-1e,False
0221_07,Mars,TRAPPIST-1e,True
0222_01,Mars,TRAPPIST-1e,False
0222_02,Mars,TRAPPIST-1e,True
0222_03,Mars,TRAPPIST-1e,True
0223_01,Earth,TRAPPIST-1e,False
0224_01,Mars,TRAPPIST-1e,False
0225_01,Earth,PSO J318.5-22,True
0229_01,Earth,TRAPPIST-1e,False
0231_01,Mars,TRAPPIST-1e,False
0232_01,Earth,PSO J318.5-22,True
0233_01,Mars,TRAPPIST-1e,False
0234_01,Earth,TRAPPIST-1e,False
0237_01,Europa,TRAPPIST-1e,True
0239_01,Mars,TRAPPIST-1e,False
0240_01,Mars,TRAPPIST-1e,True
0241_01,Europa,55 Cancri e,True
0242_01,,TRAPPIST-1e,False
0243_01,Earth,TRAPPIST-1e,True
0244_01,Mars,TRAPPIST-1e,True
0244_02,Mars,55 Cancri e,True
0245_01,Europa,55 Cancri e,False
0245_02,Europa,TRAPPIST-1e,False
0246_01,Mars,TRAPPIST-1e,False
0248_01,Europa,TRAPPIST-1e,False
0250_01,Earth,PSO J318.5-22,True
0251_01,,55 Cancri e,True
0252_01,Earth,TRAPPIST-1e,False
0253_01,Earth,TRAPPIST-1e,False
0254_01,Earth,TRAPPIST-1e,False
0255_01,Europa,TRAPPIST-1e,True
0257_01,Mars,55 Cancri e,False
0257_02,Mars,TRAPPIST-1e,True
0258_01,Earth,TRAPPIST-1e,False
0260_01,Europa,TRAPPIST-1e,False
0261_01,Earth,TRAPPIST-1e,False
0263_01,Earth,TRAPPIST-1e,True
0265_01,Europa,TRAPPIST-1e,True
0267_01,Earth,TRAPPIST-1e,False
0269_01,Earth,55 Cancri e,False
0270_01,Earth,TRAPPIST-1e,False
0275_01,Europa,55 Cancri e,True
0277_01,Earth,55 Cancri e,False
0278_01,Earth,TRAPPIST-1e,False
0278_02,Earth,TRAPPIST-1e,False
0281_01,Earth,TRAPPIST-1e,False
0282_01,Earth,TRAPPIST-1e,False
0283_01,Earth,PSO J318.5-22,True
0283_02,Earth,TRAPPIST-1e,False
0285_01,Europa,TRAPPIST-1e,True
0285_02,Europa,55 Cancri e,True
0286_01,Earth,55 Cancri e,False
0287_01,Europa,55 Cancri e,True
0287_02,Europa,TRAPPIST-1e,False
0288_01,Earth,55 Cancri e,False
0289_01,Europa,55 Cancri e,True
0290_01,Europa,55 Cancri e,False
0290_02,Europa,TRAPPIST-1e,True
0290_03,Europa,TRAPPIST-1e,True
0290_04,Europa,55 Cancri e,False
0291_01,Europa,TRAPPIST-1e,False
0294_01,Europa,TRAPPIST-1e,True
0297_01,Earth,TRAPPIST-1e,False
0298_01,Europa,55 Cancri e,True
0301_01,Earth,TRAPPIST-1e,True
0302_01,Earth,TRAPPIST-1e,False
0303_01,,TRAPPIST-1e,True
0304_01,Europa,TRAPPIST-1e,False
0305_01,Europa,55 Cancri e,False
0306_01,Earth,TRAPPIST-1e,False
0307_01,Earth,TRAPPIST-1e,False
0309_01,Earth,TRAPPIST-1e,False
0310_01,Europa,TRAPPIST-1e,False
0313_01,Earth,PSO J318.5-22,False
0313_02,Earth,55 Cancri e,True
0313_03,Earth,55 Cancri e,False
0313_04,Earth,55 Cancri e,False
0314_01,Earth,55 Cancri e,False
0315_01,,PSO J318.5-22,True
0316_01,Europa,TRAPPIST-1e,False
0316_02,Europa,TRAPPIST-1e,True
0320_01,Earth,TRAPPIST-1e,False
0320_02,Earth,TRAPPIST-1e,False
0321_01,,TRAPPIST-1e,False
0322_01,Earth,PSO J318.5-22,True
0324_01,Earth,55 Cancri e,True
0326_01,Earth,TRAPPIST-1e,True
0327_01,Earth,TRAPPIST-1e,False
0330_01,Europa,TRAPPIST-1e,False
0330_02,Europa,TRAPPIST-1e,False
0330_03,Europa,TRAPPIST-1e,False
0331_01,Earth,TRAPPIST-1e,False
0333_01,Mars,55 Cancri e,True
0334_01,Mars,TRAPPIST-1e,False
0336_01,Earth,TRAPPIST-1e,False
0337_01,Mars,55 Cancri e,True
0337_02,Mars,TRAPPIST-1e,False
0337_03,Mars,55 Cancri e,False
0338_01,Earth,TRAPPIST-1e,True
0340_01,Europa,55 Cancri e,True
0341_01,Earth,PSO J318.5-22,True
0343_01,Earth,PSO J318.5-22,False
0345_01,Mars,TRAPPIST-1e,True
0346_01,Earth,55 Cancri e,True
0347_01,Mars,TRAPPIST-1e,False
0348_01,Mars,TRAPPIST-1e,False
0348_02,Mars,TRAPPIST-1e,True
0350_01,Earth,PSO J318.5-22,True
0352_01,Mars,TRAPPIST-1e,False
0355_01,Earth,TRAPPIST-1e,True
0356_01,Europa,55 Cancri e,True
0357_01,Earth,TRAPPIST-1e,False
0358_01,Earth,TRAPPIST-1e,True
0358_02,Earth,PSO J318.5-22,True
0359_01,Earth,PSO J318.5-22,False
0360_01,Earth,TRAPPIST-1e,False
0361_01,Earth,55 Cancri e,False
0365_01,Earth,55 Cancri e,False
0368_01,Mars,TRAPPIST-1e,False
0368_02,Mars,TRAPPIST-1e,True
0369_01,Earth,TRAPPIST-1e,False
0370_01,Earth,TRAPPIST-1e,False
0371_01,Mars,TRAPPIST-1e,True
0372_01,Earth,TRAPPIST-1e,False
0373_01,Earth,TRAPPIST-1e,True
0375_01,Earth,TRAPPIST-1e,False
0376_01,Earth,TRAPPIST-1e,False
0377_01,Europa,55 Cancri e,False
0378_01,Europa,55 Cancri e,False
0378_02,Europa,55 Cancri e,True
0378_03,Europa,TRAPPIST-1e,False
0378_04,Europa,TRAPPIST-1e,True
0378_05,Europa,TRAPPIST-1e,True
0378_06,Europa,TRAPPIST-1e,False
0378_07,Europa,TRAPPIST-1e,True
0379_01,Earth,TRAPPIST-1e,False
0380_01,Europa,55 Cancri e,True
0381_01,Europa,55 Cancri e,True
0381_02,Europa,55 Cancri e,True
0382_01,,,False
0383_01,Earth,TRAPPIST-1e,False
0383_02,Earth,PSO J318.5-22,True
0384_01,Earth,55 Cancri e,False
0384_02,Earth,TRAPPIST-1e,False
0385_01,Earth,TRAPPIST-1e,False
0387_01,Earth,TRAPPIST-1e,True
0388_01,Earth,TRAPPIST-1e,True
0389_01,Earth,TRAPPIST-1e,False
0391_01,Europa,PSO J318.5-22,False
0392_01,Earth,TRAPPIST-1e,False
0395_01,Europa,55 Cancri e,False
0395_02,Europa,55 Cancri e,False
0396_01,Earth,TRAPPIST-1e,True
0397_01,Mars,TRAPPIST-1e,True
0398_01,Mars,TRAPPIST-1e,False
0401_01,Mars,TRAPPIST-1e,False
0401_02,Mars,TRAPPIST-1e,False
0402_01,,55 Cancri e,True
0403_01,Mars,TRAPPIST-1e,False
0405_01,Earth,55 Cancri e,False
0407_01,Earth,TRAPPIST-1e,False
0407_02,Earth,TRAPPIST-1e,False
0407_03,Earth,TRAPPIST-1e,True
0408_01,Mars,TRAPPIST-1e,False
0409_01,Mars,TRAPPIST-1e,False
0410_01,Earth,55 Cancri e,False
0411_01,Earth,TRAPPIST-1e,False
0412_01,Europa,TRAPPIST-1e,False
0413_01,Earth,TRAPPIST-1e,False
0415_01,Earth,TRAPPIST-1e,True
0417_01,Europa,55 Cancri e,True
0417_02,Europa,55 Cancri e,False
0417_03,Europa,TRAPPIST-1e,True
0423_01,Europa,TRAPPIST-1e,False
0425_01,Mars,TRAPPIST-1e,False
0425_02,Mars,TRAPPIST-1e,True
0425_03,Mars,TRAPPIST-1e,True
0427_01,Europa,TRAPPIST-1e,False
0428_01,Europa,TRAPPIST-1e,False
0429_01,Europa,55 Cancri e,False
0429_02,Europa,55 Cancri e,True
0430_01,Earth,TRAPPIST-1e,False
0431_01,Mars,TRAPPIST-1e,True
0432_01,Mars,TRAPPIST-1e,False
0433_01,Europa,55 Cancri e,True
0433_02,Europa,TRAPPIST-1e,False
0434_01,Mars,TRAPPIST-1e,True
0435_01,Earth,TRAPPIST-1e,True
0436_01,Earth,55 Cancri e,False
0436_02,Earth,PSO J318.5-22,False
0437_01,Earth,TRAPPIST-1e,False
0437_02,Earth,PSO J318.5-22,False
0438_01,Europa,TRAPPIST-1e,True
0439_01,Europa,55 Cancri e,False
0441_01,Earth,55 Cancri e,False
0442_01,Earth,TRAPPIST-1e,False
0444_01,Mars,TRAPPIST-1e,False
0444_02,,TRAPPIST-1e,False
0445_01,Earth,TRAPPIST-1e,False
0445_02,,TRAPPIST-1e,False
0446_01,Europa,55 Cancri e,True
0447_01,Earth,TRAPPIST-1e,False
0448_01,Earth,TRAPPIST-1e,False
0448_02,Earth,PSO J318.5-22,True
0449_01,Earth,TRAPPIST-1e,True
0452_01,Mars,TRAPPIST-1e,True
0453_01,Europa,TRAPPIST-1e,True
0453_02,Europa,55 Cancri e,True
0453_03,Europa,TRAPPIST-1e,True
0454_01,Europa,55 Cancri e,True
0454_02,Europa,TRAPPIST-1e,True
0454_03,Europa,TRAPPIST-1e,True
0456_01,Earth,TRAPPIST-1e,False
0457_01,Earth,PSO J318.5-22,False
0457_02,Earth,TRAPPIST-1e,True
0457_03,Earth,TRAPPIST-1e,False
0458_01,Europa,55 Cancri e,True
0459_01,Earth,TRAPPIST-1e,False
0460_01,Earth,PSO J318.5-22,True
0461_01,Earth,PSO J318.5-22,False
0461_02,Earth,TRAPPIST-1e,False
0461_03,Earth,55 Cancri e,False
0462_01,Earth,,True
0463_01,Mars,TRAPPIST-1e,False
0463_02,Mars,TRAPPIST-1e,False
0465_01,Earth,TRAPPIST-1e,False
0465_02,Earth,TRAPPIST-1e,False
0466_01,Earth,TRAPPIST-1e,False
0468_01,Earth,TRAPPIST-1e,True
0470_01,Mars,55 Cancri e,True
0470_02,,TRAPPIST-1e,True
0471_01,Europa,TRAPPIST-1e,False
0471_02,Europa,55 Cancri e,False
0472_01,Earth,PSO J318.5-22,False
0474_01,Earth,55 Cancri e,True
0475_01,Earth,TRAPPIST-1e,False
0476_01,Mars,PSO J318.5-22,False
0476_02,Mars,TRAPPIST-1e,True
0476_03,Mars,TRAPPIST-1e,True
0477_01,Earth,TRAPPIST-1e,False
0480_01,Earth,TRAPPIST-1e,False
0481_01,Earth,TRAPPIST-1e,True
0482_01,Earth,TRAPPIST-1e,False
0482_02,Earth,TRAPPIST-1e,False
0485_01,Europa,55 Cancri e,False
0487_01,Europa,TRAPPIST-1e,True
0488_01,Earth,PSO J318.5-22,True
0490_01,Earth,TRAPPIST-1e,True
0498_01,Europa,55 Cancri e,True
0498_02,Europa,55 Cancri e,True
0499_01,Mars,55 Cancri e,True
0499_02,Mars,TRAPPIST-1e,False
0500_01,Mars,55 Cancri e,False
0501_01,Europa,TRAPPIST-1e,False
0502_01,Mars,TRAPPIST-1e,False
0503_01,Mars,TRAPPIST-1e,False
0503_02,Mars,TRAPPIST-1e,False
0503_03,Mars,TRAPPIST-1e,False
0504_01,Europa,55 Cancri e,True
0504_02,Europa,55 Cancri e,True
0504_03,Europa,,True
0504_04,Europa,TRAPPIST-1e,False
0504_05,Europa,55 Cancri e,True
0504_06,,55 Cancri e,True
0506_01,Mars,TRAPPIST-1e,True
0507_01,Earth,TRAPPIST-1e,False
0510_01,Europa,TRAPPIST-1e,False
0512_01,Europa,55 Cancri e,False
0512_02,Europa,TRAPPIST-1e,True
0513_01,Earth,PSO J318.5-22,True
0515_01,Europa,TRAPPIST-1e,True
0516_01,Europa,55 Cancri e,False
0517_01,Earth,TRAPPIST-1e,False
0518_01,,TRAPPIST-1e,True
0519_01,Earth,TRAPPIST-1e,True
0520_01,Earth,TRAPPIST-1e,False
0521_01,Earth,TRAPPIST-1e,False
0522_01,Earth,TRAPPIST-1e,False
0523_01,Earth,TRAPPIST-1e,False
0525_01,Earth,TRAPPIST-1e,True
0527_01,Mars,55 Cancri e,False
0527_02,Mars,TRAPPIST-1e,True
0528_01,Europa,TRAPPIST-1e,False
0529_01,Earth,PSO J318.5-22,True
0531_01,Earth,55 Cancri e,True
0531_02,Earth,55 Cancri e,True
0533_01,Mars,TRAPPIST-1e,False
0534_01,Europa,TRAPPIST-1e,False
0534_02,Europa,TRAPPIST-1e,False
0537_01,Earth,TRAPPIST-1e,False
0538_01,Earth,TRAPPIST-1e,False
0539_01,Europa,TRAPPIST-1e,True
0539_02,Europa,55 Cancri e,True
0539_03,,55 Cancri e,True
0539_04,Europa,TRAPPIST-1e,True
0539_05,Europa,TRAPPIST-1e,False
0540_01,Mars,TRAPPIST-1e,True
0540_02,,TRAPPIST-1e,False
0542_01,Earth,TRAPPIST-1e,False
0545_01,Earth,TRAPPIST-1e,False
0546_01,Earth,55 Cancri e,False
0547_01,Earth,TRAPPIST-1e,False
0548_01,Earth,TRAPPIST-1e,False
0549_01,Mars,PSO J318.5-22,False
0549_02,Mars,TRAPPIST-1e,True
0550_01,Earth,TRAPPIST-1e,False
0551_01,Earth,TRAPPIST-1e,False
0552_01,Europa,55 Cancri e,True
0553_01,Europa,TRAPPIST-1e,True
0553_02,Europa,TRAPPIST-1e,False
0555_01,Europa,55 Cancri e,True
0555_02,Europa,TRAPPIST-1e,False
0556_01,Earth,TRAPPIST-1e,False
0559_01,Earth,PSO J318.5-22,False
0560_01,Earth,TRAPPIST-1e,False
0560_02,Earth,PSO J318.5-22,False
0560_03,,TRAPPIST-1e,False
0561_01,Earth,TRAPPIST-1e,False
0563_01,Mars,55 Cancri e,False
0564_01,Europa,55 Cancri e,True
0564_02,Europa,TRAPPIST-1e,True
0564_03,Europa,,False
0565_01,Mars,TRAPPIST-1e,False
0566_01,Mars,TRAPPIST-1e,True
0567_01,Earth,TRAPPIST-1e,True
0568_01,Europa,TRAPPIST-1e,True
0568_02,Europa,55 Cancri e,True
0569_01,Earth,TRAPPIST-1e,False
0570_01,Europa,TRAPPIST-1e,False
0571_01,Europa,55 Cancri e,True
0571_02,Europa,TRAPPIST-1e,True
0571_03,Europa,TRAPPIST-1e,True
0571_04,Europa,,True
0571_05,Europa,55 Cancri e,True
0571_06,Europa,TRAPPIST-1e,False
0571_07,Europa,TRAPPIST-1e,True
0572_01,Earth,TRAPPIST-1e,False
0573_01,Earth,TRAPPIST-1e,False
0575_01,Europa,TRAPPIST-1e,True
0576_01,Earth,,False
0577_01,Earth,TRAPPIST-1e,False
0579_01,Earth,TRAPPIST-1e,False
0579_02,Earth,TRAPPIST-1e,False
0580_01,Earth,TRAPPIST-1e,True
0581_01,Earth,TRAPPIST-1e,False
0582_01,Mars,TRAPPIST-1e,True
0583_01,Mars,TRAPPIST-1e,True
0583_02,Mars,TRAPPIST-1e,True
0583_03,Mars,TRAPPIST-1e,True
0585_01,Mars,TRAPPIST-1e,True
0585_02,Mars,TRAPPIST-1e,True
0585_03,Mars,TRAPPIST-1e,False
0586_01,Europa,TRAPPIST-1e,True
0587_01,Mars,TRAPPIST-1e,False
0588_01,Earth,PSO J318.5-22,True
0589_01,Earth,TRAPPIST-1e,False
0590_01,Earth,TRAPPIST-1e,False
0591_01,Earth,PSO J318.5-22,True
0593_01,Mars,TRAPPIST-1e,False
0594_01,Earth,55 Cancri e,False
0594_02,,TRAPPIST-1e,False
0596_01,Mars,TRAPPIST-1e,False
0597_01,Earth,,True
0597_02,Earth,TRAPPIST-1e,True
0598_01,Earth,TRAPPIST-1e,True
0599_01,Mars,TRAPPIST-1e,False
0599_02,Mars,TRAPPIST-1e,False
0599_03,Mars,TRAPPIST-1e,False
0599_04,Mars,TRAPPIST-1e,True
0600_01,Europa,TRAPPIST-1e,False
0602_01,Mars,TRAPPIST-1e,True
0602_02,Mars,TRAPPIST-1e,False
0602_03,Mars,TRAPPIST-1e,True
0603_01,Earth,TRAPPIST-1e,False
0607_01,Europa,TRAPPIST-1e,False
0607_02,Europa,55 Cancri e,False
0607_03,Europa,TRAPPIST-1e,False
0608_01,Earth,TRAPPIST-1e,False
0609_01,Mars,TRAPPIST-1e,False
0610_01,Earth,TRAPPIST-1e,False
0611_01,Earth,PSO J318.5-22,True
0612_01,Europa,TRAPPIST-1e,True
0614_01,Earth,TRAPPIST-1e,False
0615_01,Earth,TRAPPIST-1e,True
0615_02,Earth,TRAPPIST-1e,False
0615_03,Earth,55 Cancri e,True
0618_01,Earth,55 Cancri e,False
0618_02,Earth,PSO J318.5-22,False
0619_01,Europa,TRAPPIST-1e,True
0619_02,Europa,55 Cancri e,True
0623_01,Earth,TRAPPIST-1e,True
0628_01,Earth,TRAPPIST-1e,False
0629_01,Earth,TRAPPIST-1e,False
0630_01,Mars,TRAPPIST-1e,True
0631_01,Mars,TRAPPIST-1e,True
0633_01,Mars,PSO J318.5-22,False
0634_01,Earth,TRAPPIST-1e,False
0635_01,Earth,TRAPPIST-1e,False
0635_02,Earth,TRAPPIST-1e,False
0636_01,Earth,55 Cancri e,False
0636_02,Earth,TRAPPIST-1e,False
0637_01,Mars,TRAPPIST-1e,False
0638_01,Europa,55 Cancri e,True
0639_01,Earth,TRAPPIST-1e,False
0641_01,Earth,TRAPPIST-1e,False
0642_01,Europa,55 Cancri e,False
0642_02,Europa,55 Cancri e,False
0642_03,Europa,TRAPPIST-1e,False
0642_04,Europa,55 Cancri e,True
0642_05,Europa,55 Cancri e,True
0643_01,Mars,TRAPPIST-1e,False
0644_01,Europa,TRAPPIST-1e,True
0645_01,Earth,,False
0646_01,Europa,55 Cancri e,True
0647_01,Mars,TRAPPIST-1e,True
0647_02,Mars,TRAPPIST-1e,True
0647_03,Mars,TRAPPIST-1e,False
0650_01,Earth,PSO J318.5-22,True
0653_01,Mars,TRAPPIST-1e,True
0655_01,Mars,TRAPPIST-1e,False
0656_01,Earth,TRAPPIST-1e,False
0657_01,Earth,TRAPPIST-1e,False
0657_02,Earth,TRAPPIST-1e,False
0658_01,Earth,PSO J318.5-22,False
0659_01,Earth,TRAPPIST-1e,True
0660_01,Earth,TRAPPIST-1e,True
0661_01,Europa,TRAPPIST-1e,False
0663_01,Earth,TRAPPIST-1e,False
0664_01,Europa,TRAPPIST-1e,False
0665_01,,TRAPPIST-1e,False
0665_02,Mars,TRAPPIST-1e,False
0668_01,Earth,TRAPPIST-1e,False
0669_01,Earth,TRAPPIST-1e,False
0671_01,Earth,PSO J318.5-22,True
0672_01,Earth,TRAPPIST-1e,False
0674_01,Earth,PSO J318.5-22,True
0677_01,Earth,TRAPPIST-1e,True
0678_01,Earth,TRAPPIST-1e,True
0679_01,Earth,TRAPPIST-1e,False
0680_01,Earth,PSO J318.5-22,True
0680_02,Earth,TRAPPIST-1e,True
0680_03,Earth,TRAPPIST-1e,True
0682_01,Mars,TRAPPIST-1e,True
0683_01,Mars,TRAPPIST-1e,False
0684_01,Mars,TRAPPIST-1e,False
0684_02,Mars,TRAPPIST-1e,False
0684_03,Mars,TRAPPIST-1e,True
0685_01,Earth,TRAPPIST-1e,False
0686_01,Mars,TRAPPIST-1e,True
0686_02,Mars,TRAPPIST-1e,False
0687_01,Mars,TRAPPIST-1e,False
0688_01,Mars,TRAPPIST-1e,False
0689_01,Europa,TRAPPIST-1e,True
